epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,2859.46,0.34308,0.22617,0.81023,0.98436,0.98987,0.98638,0.96491,0.23713,0.18602,0.7653,0.0001115,0.0001115,0.0001115
140,2875.65,0.33743,0.22588,0.80559,0.98366,0.98577,0.98716,0.96489,0.23613,0.18537,0.76512,0.00010325,0.00010325,0.00010325
141,2895.55,0.32231,0.20263,0.79297,0.98327,0.9879,0.98714,0.9643,0.24088,0.18775,0.76547,9.5e-05,9.5e-05,9.5e-05
142,2913.35,0.31927,0.20202,0.79009,0.98369,0.98992,0.98683,0.9627,0.23997,0.1851,0.76607,8.675e-05,8.675e-05,8.675e-05
143,2931.8,0.3158,0.19646,0.79176,0.98511,0.9868,0.9869,0.96342,0.24021,0.1837,0.76555,7.85e-05,7.85e-05,7.85e-05
144,2950.17,0.31419,0.19833,0.79019,0.98276,0.98627,0.98714,0.96513,0.24145,0.18512,0.76539,7.025e-05,7.025e-05,7.025e-05
145,2974.04,0.31858,0.19888,0.79218,0.98228,0.98985,0.98719,0.9648,0.23842,0.18424,0.7655,6.2e-05,6.2e-05,6.2e-05
146,3010.69,0.31345,0.19626,0.78972,0.98465,0.98778,0.98671,0.96258,0.23525,0.18185,0.76518,5.375e-05,5.375e-05,5.375e-05
147,3036.46,0.31056,0.19412,0.79082,0.98179,0.99125,0.98659,0.96251,0.23625,0.18112,0.76515,4.55e-05,4.55e-05,4.55e-05
148,3073.61,0.31383,0.19589,0.79166,0.98179,0.99144,0.98674,0.9641,0.23683,0.17985,0.76516,3.725e-05,3.725e-05,3.725e-05
149,3110.58,0.31209,0.19273,0.79129,0.9822,0.98939,0.98666,0.96543,0.23539,0.18038,0.76502,2.9e-05,2.9e-05,2.9e-05
150,3147.35,0.31072,0.19297,0.79147,0.98228,0.98939,0.98657,0.96431,0.23436,0.18062,0.76498,2.075e-05,2.075e-05,2.075e-05
